,propensity,flux intensity,Type
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5667,7.833979002009011,HAEMATOPOIETIC AND LYMPHOID TISSUE
KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5441,7.653203300465514,HAEMATOPOIETIC AND LYMPHOID TISSUE
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5385,7.112695512572563,HAEMATOPOIETIC AND LYMPHOID TISSUE
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5372,7.11129176930586,HAEMATOPOIETIC AND LYMPHOID TISSUE
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.537,7.21183149606424,HAEMATOPOIETIC AND LYMPHOID TISSUE
KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5377,7.250557507534963,HAEMATOPOIETIC AND LYMPHOID TISSUE
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5373,7.132094164424728,HAEMATOPOIETIC AND LYMPHOID TISSUE
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5376,7.089268989401755,HAEMATOPOIETIC AND LYMPHOID TISSUE
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.538,7.169466273467433,HAEMATOPOIETIC AND LYMPHOID TISSUE
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5376,7.167490540764147,HAEMATOPOIETIC AND LYMPHOID TISSUE
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5374,7.121522497961294,HAEMATOPOIETIC AND LYMPHOID TISSUE
KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5773,9.896047880434931,HAEMATOPOIETIC AND LYMPHOID TISSUE
KP2_PANCREAS,0.4715,15.539688651399109,PANCREAS
KP3_PANCREAS,0.44,17.35085367655274,PANCREAS
KPNRTBM1_AUTONOMIC_GANGLIA,0.3425,17.286092053065694,AUTONOMIC GANGLIA
KPNSI9S_AUTONOMIC_GANGLIA,0.4671,13.841813014022438,AUTONOMIC GANGLIA
KPNYN_AUTONOMIC_GANGLIA,0.3487,17.23791305505946,AUTONOMIC GANGLIA
KU1919_URINARY_TRACT,0.466,15.910521451842214,URINARY TRACT
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.4428,18.833225015574595,HAEMATOPOIETIC AND LYMPHOID TISSUE
KURAMOCHI_OVARY,0.4576,22.508341258892383,OVARY
KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.4379,18.086003666086,HAEMATOPOIETIC AND LYMPHOID TISSUE
KYSE140_OESOPHAGUS,0.5848,11.908627469600106,OESOPHAGUS
KYSE180_OESOPHAGUS,0.5827,11.606225580583269,OESOPHAGUS
KYSE270_OESOPHAGUS,0.4711,16.06293693517558,OESOPHAGUS
KYSE410_OESOPHAGUS,0.5849,11.637880592180876,OESOPHAGUS
KYSE510_OESOPHAGUS,0.5199,13.450103080197009,OESOPHAGUS
KYSE520_OESOPHAGUS,0.4908,14.36365552643485,OESOPHAGUS
KYSE70_OESOPHAGUS,0.5888,11.756854902778397,OESOPHAGUS
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5439,7.705834683873766,HAEMATOPOIETIC AND LYMPHOID TISSUE
L33_PANCREAS,0.4651,15.83268110836534,PANCREAS
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5386,7.107132091414614,HAEMATOPOIETIC AND LYMPHOID TISSUE
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5501,7.785801087510417,HAEMATOPOIETIC AND LYMPHOID TISSUE
L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5625,7.834767737003809,HAEMATOPOIETIC AND LYMPHOID TISSUE
LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.4438,18.6020042504082,HAEMATOPOIETIC AND LYMPHOID TISSUE
LC1F_LUNG,0.5904,11.600975863753476,LUNG
LCLC103H_LUNG,0.5404,11.285517446106434,LUNG
LCLC97TM1_LUNG,0.4052,20.18817619578136,LUNG
LI7_LIVER,0.4634,17.524679128765666,LIVER
LK2_LUNG,0.4727,12.449319512279178,LUNG
LNCAPCLONEFGC_PROSTATE,0.3708,10.900669193177244,PROSTATE
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5518,7.680766908719308,HAEMATOPOIETIC AND LYMPHOID TISSUE
LOUNH91_LUNG,0.4996,13.044799678308935,LUNG
LOXIMVI_SKIN,0.5782,9.145112754920136,SKIN
LS1034_LARGE_INTESTINE,0.3301,15.248470902605426,LARGE INTESTINE
LS411N_LARGE_INTESTINE,0.3245,15.26803448337033,LARGE INTESTINE
LS513_LARGE_INTESTINE,0.3291,15.527832479870783,LARGE INTESTINE
LU65_LUNG,0.4313,17.51094335148267,LUNG
LU99_LUNG,0.5765,9.48499520971608,LUNG
LUDLU1_LUNG,0.4806,15.016746967075488,LUNG
M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.4503,17.666970618160736,HAEMATOPOIETIC AND LYMPHOID TISSUE
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5454,7.35112350456745,HAEMATOPOIETIC AND LYMPHOID TISSUE
MDAMB157_BREAST,0.4659,14.054279126659493,BREAST
MDAMB175VII_BREAST,0.365,10.908239044307704,BREAST
MDAMB231_BREAST,0.4579,15.731429290933374,BREAST
MDAMB361_BREAST,0.3647,10.931559431855522,BREAST
MDAMB415_BREAST,0.3642,10.93842506048328,BREAST
MDAMB435S_SKIN,0.6006,11.607702713456437,SKIN
MDAMB453_BREAST,0.3673,10.738094900998084,BREAST
ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5413,7.739828408553477,HAEMATOPOIETIC AND LYMPHOID TISSUE
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.4346,19.57451899435685,HAEMATOPOIETIC AND LYMPHOID TISSUE
MELHO_SKIN,0.6166,10.696326096521233,SKIN
MELJUSO_SKIN,0.6135,10.98941193805143,SKIN
MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.568,10.467402098303909,HAEMATOPOIETIC AND LYMPHOID TISSUE
MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5566,10.564583201007006,HAEMATOPOIETIC AND LYMPHOID TISSUE
MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5684,10.512968674127306,HAEMATOPOIETIC AND LYMPHOID TISSUE
MHHES1_BONE,0.5729,9.926570336665504,BONE
MHHNB11_AUTONOMIC_GANGLIA,0.3456,17.000571565173445,AUTONOMIC GANGLIA
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5366,7.495352442394155,HAEMATOPOIETIC AND LYMPHOID TISSUE
MKN1_STOMACH,0.4541,16.71750849809995,STOMACH
MKN45_STOMACH,0.3265,16.342215897428748,STOMACH
MKN74_STOMACH,0.4267,13.519039529626427,STOMACH
MKN7_STOMACH,0.4665,13.980033530850736,STOMACH
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5372,7.12328521661495,HAEMATOPOIETIC AND LYMPHOID TISSUE
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5391,7.566988667798731,HAEMATOPOIETIC AND LYMPHOID TISSUE
MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.438,18.72566265331101,HAEMATOPOIETIC AND LYMPHOID TISSUE
MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.54,7.801908871160189,HAEMATOPOIETIC AND LYMPHOID TISSUE
MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5378,7.163779773296213,HAEMATOPOIETIC AND LYMPHOID TISSUE
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5386,7.131344209716462,HAEMATOPOIETIC AND LYMPHOID TISSUE
MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5536,7.472531049208216,HAEMATOPOIETIC AND LYMPHOID TISSUE
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5549,7.411023790780548,HAEMATOPOIETIC AND LYMPHOID TISSUE
MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5539,7.346801259685037,HAEMATOPOIETIC AND LYMPHOID TISSUE
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5408,7.52296059658465,HAEMATOPOIETIC AND LYMPHOID TISSUE
MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5384,7.584795177826861,HAEMATOPOIETIC AND LYMPHOID TISSUE
MORCPR_LUNG,0.4521,14.978388800911564,LUNG
MSTO211H_PLEURA,0.5798,9.502510379260595,PLEURA
MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5681,10.48424496228509,HAEMATOPOIETIC AND LYMPHOID TISSUE
NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5659,10.571509935348494,HAEMATOPOIETIC AND LYMPHOID TISSUE
NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.567,10.491333840844508,HAEMATOPOIETIC AND LYMPHOID TISSUE
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5451,7.449200086514257,HAEMATOPOIETIC AND LYMPHOID TISSUE
NB1_AUTONOMIC_GANGLIA,0.3846,14.990528863916996,AUTONOMIC GANGLIA
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5372,7.664270130508921,HAEMATOPOIETIC AND LYMPHOID TISSUE
NCIH1048_LUNG,0.3899,13.550261409707652,LUNG
NCIH1092_LUNG,0.4721,10.898137269089816,LUNG
NCIH1105_LUNG,0.473,11.22238886730582,LUNG
NCIH1184_LUNG,0.4647,11.692323645382656,LUNG
NCIH1299_LUNG,0.5762,9.374946897273144,LUNG
NCIH1339_LUNG,0.5772,9.50461255486046,LUNG
NCIH1341_LUNG,0.4479,12.070254237610683,LUNG
NCIH1373_LUNG,0.4203,18.16323880526558,LUNG
NCIH1385_LUNG,0.4714,8.379396781823841,LUNG
NCIH1395_LUNG,0.4507,16.064319858868057,LUNG
NCIH1435_LUNG,0.3728,18.47696715685701,LUNG
NCIH1437_LUNG,0.4572,15.84745078456226,LUNG
NCIH146_LUNG,0.4711,10.06010684795231,LUNG
NCIH1563_LUNG,0.4687,15.1735725256875,LUNG
NCIH1568_LUNG,0.4575,12.80053879311709,LUNG
NCIH1623_LUNG,0.464,15.71724712464785,LUNG
NCIH1650_LUNG,0.4696,12.589739477220414,LUNG
NCIH1693_LUNG,0.592,9.734053835260548,LUNG
NCIH1703_LUNG,0.5757,9.469772133780287,LUNG
NCIH1734_LUNG,0.3945,18.42541421103806,LUNG
NCIH1755_LUNG,0.4995,12.853131048848311,LUNG
NCIH1781_LUNG,0.3977,19.503574894101465,LUNG
NCIH1792_LUNG,0.5326,13.360983619190783,LUNG
NCIH1838_LUNG,0.4019,19.565329768727032,LUNG
NCIH1869_LUNG,0.4482,16.38356601485898,LUNG
NCIH1915_LUNG,0.5906,9.555649724624445,LUNG
NCIH1930_LUNG,0.4717,11.39062503629301,LUNG
NCIH1944_LUNG,0.4608,16.58376151021292,LUNG
NCIH1963_LUNG,0.4708,11.326389322303642,LUNG
NCIH196_LUNG,0.4634,14.41674968812446,LUNG
NCIH1975_LUNG,0.4542,16.456307722464633,LUNG
NCIH2030_LUNG,0.5948,10.312349141691032,LUNG
NCIH2052_PLEURA,0.5827,9.902714439120995,PLEURA
NCIH2073_LUNG,0.4451,16.418039616535406,LUNG
NCIH209_LUNG,0.4718,10.425315350232728,LUNG
NCIH2110_LUNG,0.4428,16.112668719047935,LUNG
NCIH211_LUNG,0.5239,10.008549873576522,LUNG
NCIH2122_LUNG,0.4463,16.219357626247785,LUNG
NCIH2170_LUNG,0.4488,16.211040172466078,LUNG
NCIH2172_LUNG,0.5942,10.54832228064433,LUNG
NCIH2228_LUNG,0.3944,19.05028692455664,LUNG
NCIH226_LUNG,0.6017,10.02987939471105,LUNG
NCIH2286_LUNG,0.5797,9.64888131620277,LUNG
NCIH2291_LUNG,0.4031,20.363760167127083,LUNG
NCIH2347_LUNG,0.4078,19.994193952306084,LUNG
NCIH23_LUNG,0.5769,9.757253102755648,LUNG
NCIH2405_LUNG,0.4558,17.024342397695445,LUNG
NCIH2444_LUNG,0.467,15.758898296294271,LUNG
NCIH2452_PLEURA,0.5964,10.7254932133391,PLEURA
NCIH28_PLEURA,0.4681,17.05299730996322,PLEURA
